Port,Size_MB,Latency_ms
5555,0.00653267,0.086577
5555,0.0065937,0.092357
5555,0.00665474,0.105526
5555,0.00671577,0.110822
5555,0.00677681,0.111076
5555,0.00683784,0.089431
5555,0.00689888,0.09161
5555,0.00695992,0.108322
5555,0.00702095,0.130353
5555,0.00708199,0.086591
5555,0.00714302,0.107212
5555,0.00720406,0.091911
5555,0.00726509,0.093862
5555,0.00732613,0.09157
5555,0.00738716,0.088454
5555,0.0074482,0.118575
5555,0.00750923,0.099716
5555,0.00757027,0.096971
5555,0.0076313,0.087052
5555,0.00769234,0.084427
5555,0.00775337,0.088705
5555,0.00781441,0.096209
5555,0.00787544,0.101038
5555,0.00793648,0.100237
5555,0.00799751,0.098854
5555,0.00805855,0.127733
5555,0.00811958,0.120409
5555,0.00818062,0.104141
5555,0.00824165,0.102937
5555,0.00830269,0.099746
5555,0.00836372,0.101495
5555,0.00842476,0.094892
5555,0.00848579,0.090303
5555,0.00854683,0.108161
5555,0.00860786,0.097256
5555,0.0086689,0.117318
5555,0.00872993,0.35212
5555,0.00879097,0.10193
5555,0.00885201,0.130676
5555,0.00891304,0.122461
5555,0.00897408,0.10382
5555,0.00903511,0.102321
5555,0.00909615,0.093549
5555,0.00915718,0.1022
5555,0.00921822,0.100667
5555,0.00927925,0.101927
5555,0.00934029,0.099935
5555,0.00940132,0.09721
5555,0.00946236,0.103572
5555,0.00952339,0.108832
5555,0.00958443,0.104113
5555,0.00964546,0.110456
5555,0.0097065,0.1096
5555,0.00976753,0.103303
5555,0.00982857,0.105175
5555,0.0098896,0.11803
5555,0.00995064,0.128957
5555,0.0100117,0.104695
5555,0.0100727,0.157336
5555,0.0101337,0.112249
5555,0.0101948,0.112866
5555,0.0102558,0.096846
5555,0.0103168,0.094962
5555,0.0103779,0.111517
5555,0.0104389,0.108242
5555,0.0105,0.101414
5555,0.010561,0.10758
5555,0.010622,0.094175
5555,0.0106831,0.093775
5555,0.0107441,0.101896
5555,0.0108051,0.103172
5555,0.0108662,0.099883
5555,0.0109272,0.099595
5555,0.0109882,0.101284
5555,0.0110493,0.115585
5555,0.0111103,0.105356
5555,0.0111713,0.122735
5555,0.0112324,0.102901
5555,0.0112934,0.102952
5555,0.0113544,0.097498
5555,0.0114155,0.104309
5555,0.0114765,0.11272
5555,0.0115376,0.110752
5555,0.0115986,0.105457
5555,0.0116596,0.106212
5555,0.0117207,0.092828
5555,0.0117817,0.10172
5555,0.0118427,0.100587
5555,0.0119038,0.098503
5555,0.0119648,0.108111
5555,0.0120258,0.104785
5555,0.0120869,0.094806
5555,0.0121479,0.118601
5555,0.0122089,0.155846
5555,0.01227,0.12631
5555,0.012331,0.143237
5555,0.012392,0.135192
5555,0.0124531,0.156481
5555,0.0125141,0.096125
5555,0.0125751,0.098058
5555,0.0126362,0.10661
5555,0.0126972,0.108512
5555,0.0127583,0.106525
5555,0.0128193,0.101694
5555,0.0128803,0.106385
5555,0.0129414,0.154689
5555,0.0130024,0.105847
5555,0.0130634,0.115571
5555,0.0131245,0.108081
5555,0.0131855,0.101925
5555,0.0132465,0.104179
5555,0.0133076,0.097407
5555,0.0133686,0.112985
5555,0.0134296,0.141323
5555,0.0134907,0.105767
5555,0.0135517,0.097497
5555,0.0136127,0.098629
5555,0.0136738,0.095167
5555,0.0137348,0.1039
5555,0.0137959,0.098513
5555,0.0138569,0.09679
5555,0.0139179,0.102938
5555,0.013979,0.101218
5555,0.01404,0.096439
5555,0.014101,0.101686
5555,0.0141621,0.100477
5555,0.0142231,0.102761
5555,0.0142841,0.095448
5555,0.0143452,0.095257
5555,0.0144062,0.095057
5555,0.0144672,0.09684
5555,0.0145283,0.108161
5555,0.0145893,0.103768
5555,0.0146503,0.10701
5555,0.0147114,0.111557
5555,0.0147724,0.097321
5555,0.0148335,0.095076
5555,0.0148945,0.095387
5555,0.0149555,0.107881
5555,0.0150166,0.107396
5555,0.0150776,0.125711
5555,0.0151386,0.114178
5555,0.0151997,0.111585
5555,0.0152607,0.105792
5555,0.0153217,0.108669
5555,0.0153828,0.109804
5555,0.0154438,0.104273
5555,0.0155048,0.108752
5555,0.0155659,0.116437
5555,0.0156269,0.100136
5555,0.0156879,0.093193
5555,0.015749,0.197104
5555,0.01581,0.204448
5555,0.015871,0.133017
5555,0.0159321,0.148817
5555,0.0159931,0.13765
5555,0.0160542,0.103954
5555,0.0161152,0.092998
5555,0.0161762,0.101825
5555,0.0162373,0.099736
5555,0.0162983,0.102481
5555,0.0163593,0.111998
5555,0.0164204,0.096085
5555,0.0164814,0.103909
5555,0.0165424,0.108227
5555,0.0166035,0.110591
5555,0.0166645,0.121852
5555,0.0167255,0.108823
5555,0.0167866,0.108562
5555,0.0168476,0.105987
5555,0.0169086,0.112119
5555,0.0169697,0.118656
5555,0.0170307,0.121736
5555,0.0170918,0.10447
5555,0.0171528,0.116113
5555,0.0172138,0.108432
5555,0.0172749,0.107025
5555,0.0173359,0.102811
5555,0.0173969,0.095518
5555,0.017458,0.095077
5555,0.017519,0.092662
5555,0.01758,0.091591
5555,0.0176411,0.094686
5555,0.0177021,0.094085
5555,0.0177631,0.102321
5555,0.0178242,0.117018
5555,0.0178852,0.111657
5555,0.0179462,0.127277
5555,0.0180073,0.109509
5555,0.0180683,0.103172
5555,0.0181293,0.108863
5555,0.0181904,0.108622
5555,0.0182514,0.087853
5555,0.0183125,0.10167
5555,0.0183735,0.105887
5555,0.0184345,0.104705
5555,0.0184956,0.102872
5555,0.0185566,0.131194
5555,0.0186176,0.114022
5555,0.0186787,0.131174
5555,0.0187397,0.101479
5555,0.0188007,0.102481
5555,0.0188618,0.107896
5555,0.0189228,0.105145
5555,0.0189838,0.103438
5555,0.0190449,0.106403
5555,0.0191059,0.091806
5555,0.0191669,0.100432
5555,0.019228,0.126921
5555,0.019289,0.158986
5555,0.0193501,0.131804
5555,0.0194111,0.138673
5555,0.0194721,0.142475
5555,0.0195332,0.124216
5555,0.0195942,0.11303
5555,0.0196552,0.098779
5555,0.0197163,0.105557
5555,0.0197773,0.113722
5555,0.0198383,0.101559
5555,0.0198994,0.107695
5555,0.0199604,0.091586
5555,0.0200214,0.12584
5555,0.0200825,0.109254
5555,0.0201435,0.137442
5555,0.0202045,0.13959
5555,0.0202656,0.119125
5555,0.0203266,0.105386
5555,0.0203876,0.096699
5555,0.0204487,0.116818
5555,0.0205097,0.121386
5555,0.0205708,0.140031
5555,0.0206318,0.107046
5555,0.0206928,0.108262
5555,0.0207539,0.104341
5555,0.0208149,0.104685
5555,0.0208759,0.090418
5555,0.020937,0.104101
5555,0.020998,0.102962
5555,0.021059,0.10738
5555,0.0211201,0.098068
5555,0.0211811,0.109709
5555,0.0212421,0.109399
5555,0.0213032,0.106494
5555,0.0213642,0.106864
5555,0.0214252,0.111468
5555,0.0214863,0.105607
5555,0.0215473,0.104281
5555,0.0216084,0.103157
5555,0.0216694,0.096961
5555,0.0217304,0.104562
5555,0.0217915,0.107616
5555,0.0218525,0.102176
5555,0.0219135,0.095408
5555,0.0219746,0.126084
5555,0.0220356,0.099039
5555,0.0220966,0.115935
5555,0.0221577,0.106879
5555,0.0222187,0.110356
5555,0.0222797,0.100663
5555,0.0223408,0.108432
5555,0.0224018,0.109293
5555,0.0224628,0.10467
5555,0.0225239,0.111753
5555,0.0225849,0.130438
5555,0.022646,0.153826
5555,0.022707,0.148328
5555,0.022768,0.233234
5555,0.0228291,0.133769
5555,0.0228901,0.109304
5555,0.0229511,0.099655
5555,0.0230122,0.097231
5555,0.0230732,0.12348
5555,0.0231342,0.122558
5555,0.0231953,0.111915
5555,0.0232563,0.10752
5555,0.0233173,0.151141
5555,0.0233784,0.112476
5555,0.0234394,0.100166
5555,0.0235004,0.144055
5555,0.0235615,0.131442
5555,0.0236225,0.115911
5555,0.0236835,0.106809
5555,0.0237446,0.135051
5555,0.0238056,0.112699
5555,0.0238667,0.117494
5555,0.0239277,0.121056
5555,0.0239887,0.111237
5555,0.0240498,0.096665
5555,0.0241108,0.122638
5555,0.0241718,0.107285
5555,0.0242329,0.101063
5555,0.0242939,0.105421
5555,0.0243549,0.108908
5555,0.024416,0.098619
5555,0.024477,0.110512
5555,0.024538,0.108397
5555,0.0245991,0.108858
5555,0.0246601,0.106283
5555,0.0247211,0.109904
5555,0.0247822,0.108898
5555,0.0248432,0.105737
5555,0.0249043,0.110065
5555,0.0249653,0.103889
5555,0.0250263,0.098399
5555,0.0250874,0.10473
5555,0.0251484,0.110471
5555,0.0252094,0.097837
5555,0.0252705,0.104595
5555,0.0253315,0.119983
5555,0.0253925,0.11258
5555,0.0254536,0.119843
5555,0.0255146,0.098529
5555,0.0255756,0.137001
5555,0.0256367,0.11837
5555,0.0256977,0.109594
5555,0.0257587,0.104865
5555,0.0258198,0.103117
