Port,Size_MB,Latency_ms
5555,0.0295429,0.078045
5555,0.029604,0.083475
5555,0.029665,0.094593
5555,0.029726,0.276224
5555,0.0297871,0.094585
5555,0.0298481,0.137546
5555,0.0299091,0.147875
5555,0.0299702,0.092007
5555,0.0300312,0.088501
5555,0.0300922,0.085776
5555,0.0301533,0.08224
5555,0.0302143,0.081451
5555,0.0302753,0.079577
5555,0.0303364,0.090298
5555,0.0303974,0.104354
5555,0.0304585,0.099191
5555,0.0305195,0.089497
5555,0.0305805,0.099004
5555,0.0306416,0.074339
5555,0.0307026,0.087462
5555,0.0307636,0.089156
5555,0.0308247,0.091009
5555,0.0308857,0.08053
5555,0.0309467,0.074459
5555,0.0310078,0.08055
5555,0.0310688,0.101535
5555,0.0311298,0.09312
5555,0.0311909,0.103423
5555,0.0312519,0.093884
5555,0.0313129,0.08096
5555,0.031374,0.079968
5555,0.031435,0.081692
5555,0.031496,0.077303
5555,0.0315571,0.073997
5555,0.0316181,0.068047
5555,0.0316792,0.068317
5555,0.0317402,0.079337
5555,0.0318012,0.083452
5555,0.0318623,0.090314
5555,0.0319233,0.087162
5555,0.0319843,0.076532
5555,0.0320454,0.075641
5555,0.0321064,0.086902
5555,0.0321674,0.088965
5555,0.0322285,0.091697
5555,0.0322895,0.095985
5555,0.0323505,0.097137
5555,0.0324116,0.088291
5555,0.0324726,0.083004
5555,0.0325336,0.092882
5555,0.0325947,0.095868
5555,0.0326557,0.087372
5555,0.0327168,0.07569
5555,0.0327778,0.159768
5555,0.0328388,0.089874
5555,0.0328999,0.079695
5555,0.0329609,0.222615
5555,0.0330219,0.092372
5555,0.033083,0.07523
5555,0.033144,0.084338
5555,0.033205,0.097438
5555,0.0332661,0.083245
5555,0.0333271,0.087423
5555,0.0333881,0.14524
5555,0.0334492,0.09541
5555,0.0335102,0.084233
5555,0.0335712,0.092199
5555,0.0336323,0.089446
5555,0.0336933,0.092679
5555,0.0337543,0.099084
5555,0.0338154,0.094125
5555,0.0338764,0.087273
5555,0.0339375,0.084357
5555,0.0339985,0.08063
5555,0.0340595,0.116717
5555,0.0341206,0.094405
5555,0.0341816,0.09692
5555,0.0342426,0.08606
5555,0.0343037,0.092723
5555,0.0343647,0.086621
5555,0.0344257,0.088164
5555,0.0344868,0.111407
5555,0.0345478,0.098924
5555,0.0346088,0.091009
5555,0.0346699,0.092532
5555,0.0347309,0.08052
5555,0.0347919,0.084728
5555,0.034853,0.11041
5555,0.034914,0.111344
5555,0.0349751,0.100474
5555,0.0350361,0.083382
5555,0.0350971,0.090739
5555,0.0351582,0.089072
5555,0.0352192,0.092679
5555,0.0352802,0.08602
5555,0.0353413,0.197217
5555,0.0354023,0.097228
5555,0.0354633,0.089005
5555,0.0355244,0.084858
5555,0.0355854,0.085666
5555,0.0356464,0.084968
5555,0.0357075,0.094212
5555,0.0357685,0.099492
5555,0.0358295,0.081522
5555,0.0358906,0.096686
5555,0.0359516,0.093981
5555,0.0360126,0.087313
5555,0.0360737,0.092221
5555,0.0361347,0.077715
5555,0.0361958,0.076883
5555,0.0362568,0.09294
5555,0.0363178,0.100086
5555,0.0363789,0.0932
5555,0.0364399,0.094112
5555,0.0365009,0.088515
5555,0.036562,0.210401
5555,0.036623,0.101189
5555,0.036684,0.120838
5555,0.0367451,0.143557
5555,0.0368061,0.100427
5555,0.0368671,0.081421
5555,0.0369282,0.255345
5555,0.0369892,0.10191
5555,0.0370502,0.089654
5555,0.0371113,0.093514
5555,0.0371723,0.089326
5555,0.0372334,0.091837
5555,0.0372944,0.08787
5555,0.0373554,0.088124
5555,0.0374165,0.079678
5555,0.0374775,0.091597
5555,0.0375385,0.097528
5555,0.0375996,0.135402
5555,0.0376606,0.23382
5555,0.0377216,0.094937
5555,0.0377827,0.093794
5555,0.0378437,0.090197
5555,0.0379047,0.093985
5555,0.0379658,0.088595
5555,0.0380268,0.104824
5555,0.0380878,0.098944
5555,0.0381489,0.092261
5555,0.0382099,0.101198
5555,0.038271,0.092582
5555,0.038332,0.083475
5555,0.038393,0.099636
5555,0.0384541,0.094786
5555,0.0385151,0.092362
5555,0.0385761,0.089206
5555,0.0386372,0.088635
5555,0.0386982,0.082434
