Size_Bytes,Time_Seconds
627692918,0.436
628767735,0.342323
629842552,0.341872
630917368,0.348981
631992185,0.402323
633067002,0.471445
634141818,0.332599
635216635,0.366195
636291452,0.359877
637366268,0.339723
638441085,0.329648
639515901,0.405727
640590718,0.314982
641665535,0.326105
642740351,0.300277
643815168,0.335517
644889985,0.342246
645964801,0.307226
647039618,0.341001
648114435,0.347612
649189251,0.382493
650264068,0.343236
651338885,0.358528
652413701,0.385373
653488518,0.378608
654563334,0.363638
655638151,0.347161
656712968,0.345812
657787784,0.367845
658862601,0.361851
659937418,0.397112
661012234,0.364293
662087051,0.427929
663161868,0.387972
664236684,0.37577
665311501,0.43938
666386317,0.376795
667461134,0.348532
668535951,0.384421
669610767,0.358817
670685584,0.373096
671760401,0.356883
672835217,0.341105
673910034,0.33178
674984851,0.338421
676059667,0.368261
677134484,0.401476
678209300,0.371716
679284117,0.480045
680358934,0.454821
681433750,0.417464
682508567,0.37425
683583384,0.350153
684658200,0.367059
685733017,0.350756
686807834,0.389734
687882650,0.371116
688957467,0.370916
690032284,0.394838
691107100,0.367179
692181917,0.395234
693256733,0.384882
694331550,0.40983
695406367,0.389823
696481183,0.39097
697556000,0.409377
698630817,0.420499
699705633,0.405485
700780450,0.451159
701855267,0.398206
702930083,0.40243
704004900,0.394991
705079716,0.416558
706154533,0.397942
707229350,0.403959
708304166,0.410593
709378983,0.3943
710453800,0.391591
711528616,0.389935
712603433,0.409409
713678250,0.412136
714753066,0.413558
715827883,0.387721
716902699,0.460946
717977516,0.379722
719052333,0.437461
720127149,0.406724
721201966,0.399364
722276783,0.408316
723351599,0.404927
724426416,0.443597
725501233,0.387676
726576049,0.394447
727650866,0.398107
728725682,0.416078
729800499,0.427953
730875316,0.427368
731950132,0.396206
733024949,0.441054
734099766,0.392382
735174582,0.470193
736249399,0.368462
737324216,0.416369
738399032,0.434932
739473849,0.381615
740548666,0.490122
741623482,0.382662
742698299,0.411784
743773115,0.391289
744847932,0.3728
745922749,0.431731
746997565,0.421175
748072382,0.412378
749147199,0.432082
750222015,0.399474
751296832,0.428405
752371649,0.415181
753446465,0.386917
754521282,0.637274
755596098,0.447363
756670915,0.494681
757745732,0.429967
758820548,0.472154
759895365,0.451032
760970182,0.419836
762044998,0.482899
763119815,0.506754
764194632,0.450689
765269448,0.473211
766344265,0.445379
767419081,0.52533
768493898,0.462144
769568715,0.487955
770643531,0.489886
771718348,0.430503
772793165,0.549012
773867981,0.447254
774942798,0.451838
776017615,0.495992
777092431,0.449382
778167248,0.491045
779242065,0.507185
780316881,0.474541
781391698,0.559519
782466514,0.445781
783541331,0.512024
784616148,0.438817
785690964,0.454914
786765781,0.533453
787840598,0.476786
788915414,0.803503
789990231,0.747718
791065048,0.706277
792139864,0.671036
793214681,0.603346
794289497,0.587939
795364314,0.543873
796439131,0.655566
797513947,0.622116
798588764,0.585888
799663581,0.61016
800738397,0.460098
801813214,0.448323
802888031,0.484536
803962847,0.452039
805037664,0.510747
806112480,0.507152
807187297,0.579741
808262114,0.514914
809336930,0.462193
810411747,0.521062
811486564,0.465123
812561380,0.444793
813636197,0.506101
814711014,0.537778
815785830,0.503428
816860647,0.450569
817935464,0.489817
819010280,0.463087
820085097,0.428012
821159913,0.532679
822234730,0.478549
823309547,0.485225
824384363,0.557768
825459180,0.452587
826533997,0.53483
827608813,0.456282
828683630,0.475173
829758447,0.526239
830833263,0.467465
831908080,0.540167
832982896,0.4516
834057713,0.499138
835132530,0.48836
836207346,0.443365
837282163,0.687933
838356980,0.469632
839431796,0.498817
840506613,0.489729
841581430,0.464213
842656246,0.537673
843731063,0.459776
844805879,0.507637
845880696,0.507796
846955513,0.472775
848030329,0.532996
849105146,0.467301
850179963,0.506244
851254779,0.464649
852329596,0.506967
853404413,0.661677
854479229,0.495674
855554046,0.5461
856628862,0.513138
857703679,0.491061
858778496,0.587015
859853312,0.470694
860928129,0.534509
862002946,0.56322
863077762,0.509975
864152579,0.59522
865227396,0.494093
866302212,0.539649
867377029,0.506481
868451846,0.510348
869526662,0.583321
870601479,0.519289
871676295,0.54342
872751112,0.56138
873825929,0.486921
874900745,0.539823
875975562,0.503407
877050379,0.557124
878125195,0.59212
879200012,0.523536
880274829,0.564458
881349645,0.507811
882424462,0.563078
883499278,0.540246
884574095,0.52776
885648912,0.583318
886723728,0.575877
887798545,0.542672
888873362,0.557322
889948178,0.534439
891022995,0.543897
892097812,0.516887
893172628,0.571714
894247445,0.67371
895322261,0.612598
896397078,0.565409
897471895,0.555907
898546711,0.614556
899621528,0.51925
900696345,0.56203
901771161,0.573305
902845978,0.576052
903920795,0.577774
904995611,0.567326
906070428,0.568056
907145245,0.563687
908220061,0.557166
909294878,0.58707
910369694,0.707977
911444511,0.571486
912519328,0.6184
913594144,0.593258
914668961,0.588748
915743778,0.606091
916818594,0.591036
917893411,0.583213
918968228,0.565183
920043044,0.566531
921117861,0.615721
922192677,0.590115
923267494,0.645437
924342311,0.502465
925417127,0.630319
926491944,0.638818
927566761,0.587036
928641577,0.626027
929716394,0.658753
930791211,0.605928
931866027,0.628553
932940844,0.597786
934015660,0.608833
935090477,0.671812
936165294,0.626123
937240110,0.600588
938314927,0.63747
939389744,0.664141
940464560,0.574334
941539377,0.62027
942614194,0.641247
943689010,0.547191
944763827,0.647688
945838644,0.575957
946913460,0.633966
947988277,0.562753
949063093,0.539336
950137910,0.645339
951212727,0.545769
952287543,0.574397
953362360,0.613971
954437177,0.523905
955511993,0.673816
956586810,0.550483
957661627,0.608909
958736443,0.643581
959811260,0.581778
960886076,0.612237
961960893,0.586583
963035710,0.600268
964110526,0.566306
965185343,0.64454
966260160,0.589349
967334976,0.577497
968409793,0.631588
969484610,0.574129
970559426,0.55715
971634243,0.602011
972709059,0.561365
973783876,0.59766
974858693,0.613157
975933509,0.593313
977008326,0.614837
978083143,0.585511
979157959,0.612328
980232776,0.567441
981307593,0.609053
982382409,0.632103
983457226,0.593099
984532042,0.611626
985606859,0.566997
986681676,0.607179
987756492,0.633929
988831309,0.553039
989906126,0.640664
990980942,0.651372
992055759,0.608037
993130576,0.628139
994205392,0.638984
995280209,0.618424
996355026,0.599935
997429842,0.645023
998504659,0.626478
999579475,0.606267
1000654292,0.632619
1001729109,0.598507
1002803925,0.607246
1003878742,0.636352
1004953559,0.578211
1006028375,0.644949
1007103192,0.685313
1008178009,0.62397
1009252825,0.618348
1010327642,0.6377
1011402458,0.685683
1012477275,0.606594
1013552092,0.666361
1014626908,0.657082
1015701725,0.632269
1016776542,0.626728
1017851358,0.657424
1018926175,0.611777
1020000992,0.702614
1021075808,0.659901
1022150625,0.660855
1023225441,0.649559
1024300258,0.648347
1025375075,0.620756
1026449891,0.651224
1027524708,0.689274
1028599525,0.630138
1029674341,0.687313
1030749158,0.698536
1031823975,0.689768
1032898791,0.469353
1033973608,0.665266
1035048425,1.43223
1036123241,0.426725
1037198058,0.689409
1038272874,0.822605
6603
1035048425,0.600719
1036123241,0.611214
1037198058,0.595999
1038272874,0.695039
1039347691,0.610122
1040422508,0.613719
1041497324,0.631165
1042572141,0.620652
1043646958,0.642366
1044721774,0.638288
1045796591,0.598122
1046871408,0.618966
1047946224,0.647169
1049021041,0.625061
1050095857,0.631171
1051170674,0.699191
1052245491,0.645198
1053320307,0.60636
1054395124,0.687052
1055469941,0.617248
1056544757,0.609791
1057619574,0.64589
1058694391,0.654983
1059769207,0.669291
1060844024,0.613031
1061918840,0.745187
1062993657,0.649616
1064068474,0.554698
1065143290,0.421861
7,0.605986
1067292924,0.644905
1068367740,0.665579
1069442557,0.596999
1070517374,0.659737
1071592190,0.699158
1072667007,0.600961
1073741824,0.673846
